title,absolute_path,relative_path
Forest Birds Chirping,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\001_forest_birds_chirping.mp3,nature_sounds/001_forest_birds_chirping.mp3
Ocean Waves Crashing,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\002_ocean_waves_crashing.mp3,nature_sounds/002_ocean_waves_crashing.mp3
Rain Falling Gentle,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\003_rain_falling_gentle.mp3,nature_sounds/003_rain_falling_gentle.mp3
Thunder Storm Loud,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\004_thunder_storm_loud.mp3,nature_sounds/004_thunder_storm_loud.mp3
River Flowing Calm,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\005_river_flowing_calm.mp3,nature_sounds/005_river_flowing_calm.mp3
Wind Blowing Strong,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\006_wind_blowing_strong.mp3,nature_sounds/006_wind_blowing_strong.mp3
Crickets Night Summer,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\007_crickets_night_summer.mp3,nature_sounds/007_crickets_night_summer.mp3
Waterfall Powerful,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\008_waterfall_powerful.mp3,nature_sounds/008_waterfall_powerful.mp3
Leaves Rustling,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\009_leaves_rustling.mp3,nature_sounds/009_leaves_rustling.mp3
Wolf Howling Night,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\010_wolf_howling_night.mp3,nature_sounds/010_wolf_howling_night.mp3
Eagle Calling,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\011_eagle_calling.mp3,nature_sounds/011_eagle_calling.mp3
Frog Croaking Pond,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\012_frog_croaking_pond.mp3,nature_sounds/012_frog_croaking_pond.mp3
Fire Crackling Camp,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\013_fire_crackling_camp.mp3,nature_sounds/013_fire_crackling_camp.mp3
Snow Falling Quiet,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\014_snow_falling_quiet.mp3,nature_sounds/014_snow_falling_quiet.mp3
Storm Wind Howling,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\015_storm_wind_howling.mp3,nature_sounds/015_storm_wind_howling.mp3
Morning Birds Singing,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\016_morning_birds_singing.mp3,nature_sounds/016_morning_birds_singing.mp3
Rainforest Ambient,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\017_rainforest_ambient.mp3,nature_sounds/017_rainforest_ambient.mp3
Stream Flowing,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\018_stream_flowing.mp3,nature_sounds/018_stream_flowing.mp3
Thunder Rolling,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\019_thunder_rolling.mp3,nature_sounds/019_thunder_rolling.mp3
Seagulls Ocean,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\020_seagulls_ocean.mp3,nature_sounds/020_seagulls_ocean.mp3
Night Insects,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\021_night_insects.mp3,nature_sounds/021_night_insects.mp3
Mountain Wind,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\022_mountain_wind.mp3,nature_sounds/022_mountain_wind.mp3
Lake Waves,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\023_lake_waves.mp3,nature_sounds/023_lake_waves.mp3
Forest Night,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\024_forest_night.mp3,nature_sounds/024_forest_night.mp3
Summer Rain,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\025_summer_rain.mp3,nature_sounds/025_summer_rain.mp3
Winter Wind,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\026_winter_wind.mp3,nature_sounds/026_winter_wind.mp3
Desert Wind,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\027_desert_wind.mp3,nature_sounds/027_desert_wind.mp3
Jungle Sounds,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\028_jungle_sounds.mp3,nature_sounds/028_jungle_sounds.mp3
Water Dripping,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\029_water_dripping.mp3,nature_sounds/029_water_dripping.mp3
Owl Hooting,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\030_owl_hooting.mp3,nature_sounds/030_owl_hooting.mp3
Cicadas Summer,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\031_cicadas_summer.mp3,nature_sounds/031_cicadas_summer.mp3
Water Stream,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\032_water_stream.mp3,nature_sounds/032_water_stream.mp3
Morning Dew,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\033_morning_dew.mp3,nature_sounds/033_morning_dew.mp3
Forest Walk,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\034_forest_walk.mp3,nature_sounds/034_forest_walk.mp3
Ocean Shore,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\035_ocean_shore.mp3,nature_sounds/035_ocean_shore.mp3
Mountain Echo,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\036_mountain_echo.mp3,nature_sounds/036_mountain_echo.mp3
Rain on Roof,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\037_rain_on_roof.mp3,nature_sounds/037_rain_on_roof.mp3
Wind Chimes,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\038_wind_chimes.mp3,nature_sounds/038_wind_chimes.mp3
Forest Creek,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\039_forest_creek.mp3,nature_sounds/039_forest_creek.mp3
Thunderstorm,C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\040_thunderstorm.mp3,nature_sounds/040_thunderstorm.mp3
