absolute_path;relative_path;amplitude_range_bin
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\harp_01_Driving_Ambition.mp3;audio\harp_01_Driving_Ambition.mp3;0.567-0.661
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\harp_02_Wedding_01.mp3;audio\harp_02_Wedding_01.mp3;0.287-0.381
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\harp_03_Harp_Relax.mp3;audio\harp_03_Harp_Relax.mp3;0.381-0.474
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\harp_04_Relaxation_05.mp3;audio\harp_04_Relaxation_05.mp3;0.661-0.754
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\harp_05_Just_Chill.mp3;audio\harp_05_Just_Chill.mp3;0.941-1.034
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\harp_06_Baby.mp3;audio\harp_06_Baby.mp3;0.287-0.381
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\harp_06_Wedding_Harp.mp3;audio\harp_06_Wedding_Harp.mp3;0.848-0.941
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\harp_07_Baby.mp3;audio\harp_07_Baby.mp3;0.287-0.381
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\harp_07_Wedding_Harp.mp3;audio\harp_07_Wedding_Harp.mp3;0.848-0.941
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\harp_08_Wedding_02.mp3;audio\harp_08_Wedding_02.mp3;0.474-0.567
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\harp_09_Special_Days.mp3;audio\harp_09_Special_Days.mp3;0.661-0.754
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\harp_10_Nield_Grohm_Hanging_1.mp3;audio\harp_10_Nield_Grohm_Hanging_1.mp3;0.848-0.941
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\harp_11_Cold_Day.mp3;audio\harp_11_Cold_Day.mp3;0.941-1.034
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\trumpet_01_Latin_Lovers.mp3;audio\trumpet_01_Latin_Lovers.mp3;0.941-1.034
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\trumpet_01_Romantic_Vacation.mp3;audio\trumpet_01_Romantic_Vacation.mp3;0.848-0.941
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\trumpet_02_Latin_Lovers.mp3;audio\trumpet_02_Latin_Lovers.mp3;0.941-1.034
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\trumpet_02_Romantic_Vacation.mp3;audio\trumpet_02_Romantic_Vacation.mp3;0.848-0.941
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\trumpet_03_Welcome_to_The_Games.mp3;audio\trumpet_03_Welcome_to_The_Games.mp3;0.848-0.941
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\ukulele_01_Smile.mp3;audio\ukulele_01_Smile.mp3;0.474-0.567
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\ukulele_02_Dance_with_Me.mp3;audio\ukulele_02_Dance_with_Me.mp3;0.941-1.034
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\ukulele_03_Playground_Fun.mp3;audio\ukulele_03_Playground_Fun.mp3;0.754-0.848
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\ukulele_04_Just_Kidding.mp3;audio\ukulele_04_Just_Kidding.mp3;0.848-0.941
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\ukulele_05_Owies_Ukulele.mp3;audio\ukulele_05_Owies_Ukulele.mp3;0.661-0.754
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\ukulele_06_My_Pride_and_Joy.mp3;audio\ukulele_06_My_Pride_and_Joy.mp3;0.381-0.474
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\ukulele_06_Walking_in_the_Park.mp3;audio\ukulele_06_Walking_in_the_Park.mp3;0.941-1.034
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\ukulele_07_Feeling_Happy.mp3;audio\ukulele_07_Feeling_Happy.mp3;0.941-1.034
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\ukulele_07_My_Pride_and_Joy.mp3;audio\ukulele_07_My_Pride_and_Joy.mp3;0.381-0.474
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\ukulele_08_Feeling_Happy.mp3;audio\ukulele_08_Feeling_Happy.mp3;0.941-1.034
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\ukulele_08_Walking_in_the_Park.mp3;audio\ukulele_08_Walking_in_the_Park.mp3;0.941-1.034
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\ukulele_09_A_Baby_Story.mp3;audio\ukulele_09_A_Baby_Story.mp3;0.754-0.848
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\ukulele_10_Jumping_Around.mp3;audio\ukulele_10_Jumping_Around.mp3;0.941-1.034
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\ukulele_11_Baby_Yohan.mp3;audio\ukulele_11_Baby_Yohan.mp3;0.381-0.474
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\ukulele_12_Thats_the_Way_of_Life.mp3;audio\ukulele_12_Thats_the_Way_of_Life.mp3;0.941-1.034
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\ukulele_13_Holiday_Fun.mp3;audio\ukulele_13_Holiday_Fun.mp3;0.754-0.848
C:\Users\Софья\OneDrive\Desktop\lab2_prikl\audio\ukulele_14_Happy_and_All_That.mp3;audio\ukulele_14_Happy_and_All_That.mp3;0.941-1.034
