,Абсолютный путь,Относительный путь,площадь
0,C:\Users\Azerty\application-programming-labs-2025\image\000002.jpg,image\000002.jpg,453750
1,C:\Users\Azerty\application-programming-labs-2025\image\000003.jpg,image\000003.jpg,810000
2,C:\Users\Azerty\application-programming-labs-2025\image\000004.jpg,image\000004.jpg,2795520
3,C:\Users\Azerty\application-programming-labs-2025\image\000005.jpg,image\000005.jpg,3683840
4,C:\Users\Azerty\application-programming-labs-2025\image\000006.jpg,image\000006.jpg,3686400
5,C:\Users\Azerty\application-programming-labs-2025\image\000007.jpg,image\000007.jpg,2073600
6,C:\Users\Azerty\application-programming-labs-2025\image\000008.jpg,image\000008.jpg,810000
7,C:\Users\Azerty\application-programming-labs-2025\image\000009.jpg,image\000009.jpg,351000
8,C:\Users\Azerty\application-programming-labs-2025\image\000010.jpg,image\000010.jpg,1500000
9,C:\Users\Azerty\application-programming-labs-2025\image\000011.jpg,image\000011.jpg,2018400
10,C:\Users\Azerty\application-programming-labs-2025\image\000012.jpg,image\000012.jpg,426400
11,C:\Users\Azerty\application-programming-labs-2025\image\000013.jpg,image\000013.jpg,667000
12,C:\Users\Azerty\application-programming-labs-2025\image\000014.jpg,image\000014.jpg,1440000
13,C:\Users\Azerty\application-programming-labs-2025\image\000015.jpg,image\000015.jpg,807600
14,C:\Users\Azerty\application-programming-labs-2025\image\000016.jpg,image\000016.jpg,662000
15,C:\Users\Azerty\application-programming-labs-2025\image\000017.jpg,image\000017.jpg,1440000
16,C:\Users\Azerty\application-programming-labs-2025\image\000018.jpg,image\000018.jpg,91700
17,C:\Users\Azerty\application-programming-labs-2025\image\000019.jpg,image\000019.jpg,81550
18,C:\Users\Azerty\application-programming-labs-2025\image\000020.jpg,image\000020.jpg,786432
19,C:\Users\Azerty\application-programming-labs-2025\image\000021.jpg,image\000021.jpg,376200
20,C:\Users\Azerty\application-programming-labs-2025\image\000022.jpg,image\000022.jpg,2073600
21,C:\Users\Azerty\application-programming-labs-2025\image\000023.jpg,image\000023.jpg,1636500
22,C:\Users\Azerty\application-programming-labs-2025\image\000024.jpg,image\000024.jpg,1749150
23,C:\Users\Azerty\application-programming-labs-2025\image\000025.jpg,image\000025.jpg,979200
24,C:\Users\Azerty\application-programming-labs-2025\image\000026.jpg,image\000026.jpg,589824
25,C:\Users\Azerty\application-programming-labs-2025\image\000027.jpg,image\000027.jpg,714000
26,C:\Users\Azerty\application-programming-labs-2025\image\000028.jpg,image\000028.jpg,2073600
27,C:\Users\Azerty\application-programming-labs-2025\image\000029.jpg,image\000029.jpg,2018400
28,C:\Users\Azerty\application-programming-labs-2025\image\000030.jpg,image\000030.jpg,1932800
29,C:\Users\Azerty\application-programming-labs-2025\image\000031.jpg,image\000031.jpg,6016000
30,C:\Users\Azerty\application-programming-labs-2025\image\000032.jpg,image\000032.jpg,4032500
31,C:\Users\Azerty\application-programming-labs-2025\image\000033.jpg,image\000033.jpg,279040
32,C:\Users\Azerty\application-programming-labs-2025\image\000034.jpg,image\000034.jpg,2046400
33,C:\Users\Azerty\application-programming-labs-2025\image\000035.jpg,image\000035.jpg,2666000
34,C:\Users\Azerty\application-programming-labs-2025\image\000036.jpg,image\000036.jpg,1707200
35,C:\Users\Azerty\application-programming-labs-2025\image\000037.jpg,image\000037.jpg,667000
36,C:\Users\Azerty\application-programming-labs-2025\image\000038.jpg,image\000038.jpg,786432
37,C:\Users\Azerty\application-programming-labs-2025\image\000039.jpg,image\000039.jpg,807600
38,C:\Users\Azerty\application-programming-labs-2025\image\000040.jpg,image\000040.jpg,563000
