genre,abs_path,real_path,url
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_8.mp3,song\country_8.mp3,https://assets.mixkit.co/music/8/8.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_795.mp3,song\country_795.mp3,https://assets.mixkit.co/music/795/795.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_844.mp3,song\country_844.mp3,https://assets.mixkit.co/music/844/844.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_83.mp3,song\country_83.mp3,https://assets.mixkit.co/music/83/83.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_825.mp3,song\country_825.mp3,https://assets.mixkit.co/music/825/825.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_799.mp3,song\country_799.mp3,https://assets.mixkit.co/music/799/799.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_1084.mp3,song\country_1084.mp3,https://assets.mixkit.co/music/1084/1084.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_1052.mp3,song\country_1052.mp3,https://assets.mixkit.co/music/1052/1052.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_847.mp3,song\country_847.mp3,https://assets.mixkit.co/music/847/847.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_1083.mp3,song\country_1083.mp3,https://assets.mixkit.co/music/1083/1083.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_1051.mp3,song\country_1051.mp3,https://assets.mixkit.co/music/1051/1051.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_803.mp3,song\country_803.mp3,https://assets.mixkit.co/music/803/803.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_790.mp3,song\country_790.mp3,https://assets.mixkit.co/music/790/790.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_591.mp3,song\country_591.mp3,https://assets.mixkit.co/music/591/591.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_859.mp3,song\country_859.mp3,https://assets.mixkit.co/music/859/859.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_547.mp3,song\country_547.mp3,https://assets.mixkit.co/music/547/547.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_848.mp3,song\country_848.mp3,https://assets.mixkit.co/music/848/848.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_60.mp3,song\country_60.mp3,https://assets.mixkit.co/music/60/60.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_807.mp3,song\country_807.mp3,https://assets.mixkit.co/music/807/807.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_1063.mp3,song\country_1063.mp3,https://assets.mixkit.co/music/1063/1063.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_36.mp3,song\country_36.mp3,https://assets.mixkit.co/music/36/36.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_1099.mp3,song\country_1099.mp3,https://assets.mixkit.co/music/1099/1099.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_817.mp3,song\country_817.mp3,https://assets.mixkit.co/music/817/817.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_802.mp3,song\country_802.mp3,https://assets.mixkit.co/music/802/802.mp3
country,D:\prog\application-programming-labs-2025\lab2-var24\song\country_840.mp3,song\country_840.mp3,https://assets.mixkit.co/music/840/840.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_1027.mp3,song\funk_1027.mp3,https://assets.mixkit.co/music/1027/1027.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_939.mp3,song\funk_939.mp3,https://assets.mixkit.co/music/939/939.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_636.mp3,song\funk_636.mp3,https://assets.mixkit.co/music/636/636.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_241.mp3,song\funk_241.mp3,https://assets.mixkit.co/music/241/241.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_1003.mp3,song\funk_1003.mp3,https://assets.mixkit.co/music/1003/1003.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_983.mp3,song\funk_983.mp3,https://assets.mixkit.co/music/983/983.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_1109.mp3,song\funk_1109.mp3,https://assets.mixkit.co/music/1109/1109.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_1140.mp3,song\funk_1140.mp3,https://assets.mixkit.co/music/1140/1140.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_45.mp3,song\funk_45.mp3,https://assets.mixkit.co/music/45/45.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_824.mp3,song\funk_824.mp3,https://assets.mixkit.co/music/824/824.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_989.mp3,song\funk_989.mp3,https://assets.mixkit.co/music/989/989.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_953.mp3,song\funk_953.mp3,https://assets.mixkit.co/music/953/953.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_860.mp3,song\funk_860.mp3,https://assets.mixkit.co/music/860/860.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_1164.mp3,song\funk_1164.mp3,https://assets.mixkit.co/music/1164/1164.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_1141.mp3,song\funk_1141.mp3,https://assets.mixkit.co/music/1141/1141.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_999.mp3,song\funk_999.mp3,https://assets.mixkit.co/music/999/999.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_935.mp3,song\funk_935.mp3,https://assets.mixkit.co/music/935/935.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_1078.mp3,song\funk_1078.mp3,https://assets.mixkit.co/music/1078/1078.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_635.mp3,song\funk_635.mp3,https://assets.mixkit.co/music/635/635.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_868.mp3,song\funk_868.mp3,https://assets.mixkit.co/music/868/868.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_1077.mp3,song\funk_1077.mp3,https://assets.mixkit.co/music/1077/1077.mp3
funk,D:\prog\application-programming-labs-2025\lab2-var24\song\funk_1060.mp3,song\funk_1060.mp3,https://assets.mixkit.co/music/1060/1060.mp3
classical,D:\prog\application-programming-labs-2025\lab2-var24\song\classical_1081.mp3,song\classical_1081.mp3,https://assets.mixkit.co/music/1081/1081.mp3
