Относительный путь,Абсолютный путь,Жанр,Название,Исполнитель
rock/1082.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\rock\1082.mp3,rock,Whoop Yo' A$$ Boy,Michael Ramir C.
rock/51.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\rock\51.mp3,rock,Sports Highlights,Ahjay Stelino
rock/1155.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\rock\1155.mp3,rock,Siren Song,Michael Ramir C.
rock/1004.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\rock\1004.mp3,rock,Lets Paint the Town Red!,Michael Ramir C.
rock/817.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\rock\817.mp3,rock,The Duel,Michael Ramir C.
rock/48.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\rock\48.mp3,rock,Ride the Waves,Ahjay Stelino
rock/1111.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\rock\1111.mp3,rock,Nice Try,Michael Ramir C.
rock/1105.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\rock\1105.mp3,rock,Life Goes On,Michael Ramir C.
rock/1096.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\rock\1096.mp3,rock,Fight Back,Michael Ramir C.
rock/1085.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\rock\1085.mp3,rock,I'm All Heart,Michael Ramir C.
rock/1091.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\rock\1091.mp3,rock,Carry On,Michael Ramir C.
rock/50.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\rock\50.mp3,rock,Rought and Ready,Ahjay Stelino
rock/1135.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\rock\1135.mp3,rock,Dare Me,Michael Ramir C.
rock/60.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\rock\60.mp3,rock,Rock Chic,Ahjay Stelino
rock/1133.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\rock\1133.mp3,rock,Caught on Tape,Michael Ramir C.
rock/1137.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\rock\1137.mp3,rock,Don't Fall Again,Michael Ramir C.
jazz/494.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\jazz\494.mp3,jazz,Chill Bro,Diego Nava
jazz/39.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\jazz\39.mp3,jazz,Latin Lovers,Ahjay Stelino
jazz/495.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\jazz\495.mp3,jazz,Danger,Diego Nava
jazz/752.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\jazz\752.mp3,jazz,Romantic 01,Lily J
jazz/1112.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\jazz\1112.mp3,jazz,Nostalgic Night,Michael Ramir C.
jazz/518.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\jazz\518.mp3,jazz,Lonely in the Bar,Diego Nava
jazz/820.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\jazz\820.mp3,jazz,Where Are My Boots?,Michael Ramir C.
jazz/808.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\jazz\808.mp3,jazz,I'm Hungry!,Michael Ramir C.
jazz/493.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\jazz\493.mp3,jazz,Beautiful Dream,Diego Nava
jazz/652.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\jazz\652.mp3,jazz,Soul Jazz,Francisco Alvear
jazz/502.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\jazz\502.mp3,jazz,Winter Wind,Diego Nava
jazz/526.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\jazz\526.mp3,jazz,Swing is the Answer,Diego Nava
jazz/1033.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\jazz\1033.mp3,jazz,Lost in a Dream,Michael Ramir C.
jazz/879.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\jazz\879.mp3,jazz,Papa,Michael Ramir C.
jazz/765.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\jazz\765.mp3,jazz,Lo-Fi 03,Lily J
jazz/24.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\jazz\24.mp3,jazz,Smooth Like Jazz,Ahjay Stelino
R&B/366.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\R&B\366.mp3,R&B,Kid Ink Type,Arulo
R&B/476.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\R&B\476.mp3,R&B,Baileys,Diego Nava
R&B/332.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\R&B\332.mp3,R&B,Venecian Sunset,Arulo
R&B/738.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\R&B\738.mp3,R&B,Hip Hop 02,Lily J
R&B/244.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\R&B\244.mp3,R&B,Tom,Arulo
R&B/637.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\R&B\637.mp3,R&B,Wounds,Eugenio Mininni
R&B/478.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\R&B\478.mp3,R&B,Vampire,Diego Nava
R&B/218.mp3,C:\Users\vak-5\Desktop\pp\lab2_pp\downloads\R&B\218.mp3,R&B,Africa,Arulo
