absolute_path,relative_path,Area
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000038.jpg,range_2/000038.jpg,140400
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000118.jpg,range_2/000118.jpg,260416
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000174.jpg,range_1/000174.jpg,280000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000077.jpg,range_1/000077.jpg,314928
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000017.jpg,range_2/000017.jpg,408960
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000116.jpg,range_3/000116.jpg,418968
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000153.jpg,range_1/000153.jpg,418968
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000040.jpg,range_2/000040.jpg,425600
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000157.jpg,range_3/000157.jpg,484000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000071.jpg,range_1/000071.jpg,512000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000097.jpg,range_2/000097.jpg,518400
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000147.jpg,range_1/000147.jpg,587650
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000041.jpg,range_2/000041.jpg,696000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000025.jpg,range_3/000025.jpg,699392
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000102.jpg,range_3/000102.jpg,831488
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000082.jpg,range_3/000082.jpg,921600
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000077.jpg,range_3/000077.jpg,921600
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000111.jpg,range_2/000111.jpg,1049088
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000070.jpg,range_3/000070.jpg,1222400
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000032.jpg,range_2/000032.jpg,1228800
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000173.jpg,range_3/000173.jpg,1242800
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000075.jpg,range_3/000075.jpg,1296884
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000030.jpg,range_1/000030.jpg,1450400
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000065.jpg,range_2/000065.jpg,1495500
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000035.jpg,range_2/000035.jpg,1920000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000045.jpg,range_3/000045.jpg,1920000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000114.jpg,range_2/000114.jpg,1923840
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000029.jpg,range_3/000029.jpg,2073600
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000016.jpg,range_3/000016.jpg,2131920
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000050.jpg,range_1/000050.jpg,2449920
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000170.jpg,range_3/000170.jpg,3000000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000182.jpg,range_3/000182.jpg,3686400
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000112.jpg,range_3/000112.jpg,5143824
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000163.jpg,range_1/000163.jpg,5760000
