Абсолютный путь,Относительный путь,Площадь
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000298.jpg,range_1/000298.jpg,67947
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000161.jpg,range_2/000161.jpg,116500
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000137.jpg,range_2/000137.jpg,119664
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000041.jpg,range_2/000041.jpg,154550
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000139.jpg,range_2/000139.jpg,238360
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000147.jpg,range_1/000147.jpg,261042
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000153.jpg,range_1/000153.jpg,261042
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000221.jpg,range_2/000221.jpg,261042
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000223.jpg,range_2/000223.jpg,261042
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000040.jpg,range_2/000040.jpg,270000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000097.jpg,range_2/000097.jpg,284830
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000242.jpg,range_2/000242.jpg,294220
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000233.jpg,range_2/000233.jpg,301106
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000245.jpg,range_2/000245.jpg,306204
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000038.jpg,range_2/000038.jpg,359200
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000244.jpg,range_2/000244.jpg,391876
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000227.jpg,range_2/000227.jpg,391876
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000148.jpg,range_2/000148.jpg,528640
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000246.jpg,range_2/000246.jpg,538200
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000075.jpg,range_3/000075.jpg,627712
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000225.jpg,range_2/000225.jpg,667000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000174.jpg,range_1/000174.jpg,667000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000267.jpg,range_1/000267.jpg,697686
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000243.jpg,range_2/000243.jpg,697686
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000045.jpg,range_3/000045.jpg,720027
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000212.jpg,range_2/000212.jpg,753600
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000229.jpg,range_2/000229.jpg,768375
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000025.jpg,range_3/000025.jpg,786432
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000136.jpg,range_2/000136.jpg,786432
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000065.jpg,range_2/000065.jpg,810000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000314.jpg,range_1/000314.jpg,836352
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000082.jpg,range_3/000082.jpg,910800
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000186.jpg,range_2/000186.jpg,921600
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000170.jpg,range_3/000170.jpg,921600
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000240.jpg,range_2/000240.jpg,1089280
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000237.jpg,range_2/000237.jpg,1091840
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000112.jpg,range_3/000112.jpg,1204224
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000029.jpg,range_3/000029.jpg,1228800
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000114.jpg,range_2/000114.jpg,1366285
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000030.jpg,range_1/000030.jpg,1440000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000077.jpg,range_3/000077.jpg,1450500
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000016.jpg,range_3/000016.jpg,1600000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000201.jpg,range_2/000201.jpg,1764000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000050.jpg,range_1/000050.jpg,1764000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000163.jpg,range_1/000163.jpg,1851200
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000261.jpg,range_2/000261.jpg,1872000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000316.jpg,range_1/000316.jpg,1923200
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000207.jpg,range_2/000207.jpg,2073600
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000077.jpg,range_1/000077.jpg,2073600
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000017.jpg,range_2/000017.jpg,2073600
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000238.jpg,range_2/000238.jpg,2160000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000070.jpg,range_3/000070.jpg,2211840
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000208.jpg,range_2/000208.jpg,2250000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000248.jpg,range_2/000248.jpg,2259200
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000211.jpg,range_2/000211.jpg,2304000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000210.jpg,range_2/000210.jpg,2304000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000188.jpg,range_2/000188.jpg,2304000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000191.jpg,range_2/000191.jpg,2304000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000102.jpg,range_3/000102.jpg,2352000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000330.jpg,range_1/000330.jpg,2457600
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000071.jpg,range_1/000071.jpg,2520960
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000284.jpg,range_1/000284.jpg,2560000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_3/000182.jpg,range_3/000182.jpg,2704000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_1/000287.jpg,range_1/000287.jpg,2758000
/Users/mera/Documents/tuition/3semester/AD/application-programming-labs-2025/lab2-var3/fish_images/range_2/000035.jpg,range_2/000035.jpg,2999094
