absolute_path,relative_path,r_avg,g_avg,b_avg
C:\ap-lab1\lab2\output\black\000010.jpg,output\black\000010.jpg,12.028279166666668,12.187972916666666,10.823585416666667
C:\ap-lab1\lab2\output\black\000009.jpg,output\black\000009.jpg,14.152298516500151,24.222302149561006,23.478581895246744
C:\ap-lab1\lab2\output\black\000018.jpg,output\black\000018.jpg,25.563150078085926,26.758640488317734,30.409514744459983
C:\ap-lab1\lab2\output\black\000003.jpg,output\black\000003.jpg,65.78386243386244,57.537773998488284,41.74605064247921
C:\ap-lab1\lab2\output\black\000025.jpg,output\black\000025.jpg,67.32598524305556,67.57610026041667,62.27802842881945
C:\ap-lab1\lab2\output\black\000012.jpg,output\black\000012.jpg,73.96615330001912,61.44404394564139,46.44736626525764
C:\ap-lab1\lab2\output\black\000020.jpg,output\black\000020.jpg,79.08540004954173,59.6029725043349,40.23557592271489
C:\ap-lab1\lab2\output\yellow\000005.jpg,output\yellow\000005.jpg,82.68329119850188,72.74004915730337,48.74243211610487
C:\ap-lab1\lab2\output\black\000006.jpg,output\black\000006.jpg,86.05815425023877,91.53483285577842,72.27239016236867
C:\ap-lab1\lab2\output\black\000017.jpg,output\black\000017.jpg,87.21001795472287,94.43016315378611,71.61968462138954
C:\ap-lab1\lab2\output\yellow\000017.jpg,output\yellow\000017.jpg,87.21001795472287,94.43016315378611,71.61968462138954
C:\ap-lab1\lab2\output\yellow\000011.jpg,output\yellow\000011.jpg,94.01696455001071,62.21226612499873,27.811991548346928
C:\ap-lab1\lab2\output\black\000026.jpg,output\black\000026.jpg,95.52565843621399,96.67818930041152,85.35257544581619
C:\ap-lab1\lab2\output\black\000005.jpg,output\black\000005.jpg,95.52876886145404,96.6748010973937,85.36314128943759
C:\ap-lab1\lab2\output\yellow\000012.jpg,output\yellow\000012.jpg,107.92867131439537,86.38834478253325,65.53323245108146
C:\ap-lab1\lab2\output\yellow\000003.jpg,output\yellow\000003.jpg,109.52100849151611,118.59690952301025,87.90703582763672
C:\ap-lab1\lab2\output\black\000022.jpg,output\black\000022.jpg,110.52074639655245,97.709031452087,81.61198933662972
