absolute_path,relative_path,min_amplitude
input/sounds\004_Animal_Sound.mp3,004_Animal_Sound.mp3,0.0
input/sounds\013_Animal_Sound.mp3,013_Animal_Sound.mp3,0.0
input/sounds\011_Animal_Sound.mp3,011_Animal_Sound.mp3,0.0
input/sounds\012_Animal_Sound.mp3,012_Animal_Sound.mp3,0.0
input/sounds\028_Animal_Sound.mp3,028_Animal_Sound.mp3,0.0
input/sounds\030_Animal_Sound.mp3,030_Animal_Sound.mp3,0.0
input/sounds\020_Animal_Sound.mp3,020_Animal_Sound.mp3,0.0
input/sounds\018_Animal_Sound.mp3,018_Animal_Sound.mp3,0.0
input/sounds\031_Animal_Sound.mp3,031_Animal_Sound.mp3,0.0
input/sounds\036_Animal_Sound.mp3,036_Animal_Sound.mp3,0.0
input/sounds\035_Animal_Sound.mp3,035_Animal_Sound.mp3,0.0
input/sounds\002_Animal_Sound.mp3,002_Animal_Sound.mp3,4.547473508864641e-13
input/sounds\033_Animal_Sound.mp3,033_Animal_Sound.mp3,1.3319123581823078e-11
input/sounds\009_Animal_Sound.mp3,009_Animal_Sound.mp3,2.1691448637284338e-10
input/sounds\010_Animal_Sound.mp3,010_Animal_Sound.mp3,2.4510882212780416e-10
input/sounds\016_Animal_Sound.mp3,016_Animal_Sound.mp3,3.356035449542105e-10
input/sounds\019_Animal_Sound.mp3,019_Animal_Sound.mp3,7.34871719032526e-10
input/sounds\007_Animal_Sound.mp3,007_Animal_Sound.mp3,1.07775122160092e-09
input/sounds\021_Animal_Sound.mp3,021_Animal_Sound.mp3,1.0838903108378872e-09
input/sounds\001_Animal_Sound.mp3,001_Animal_Sound.mp3,1.3124008546583354e-09
input/sounds\005_Animal_Sound.mp3,005_Animal_Sound.mp3,1.4110810298006982e-09
input/sounds\014_Animal_Sound.mp3,014_Animal_Sound.mp3,1.979060471057892e-09
input/sounds\027_Animal_Sound.mp3,027_Animal_Sound.mp3,2.451542968628928e-09
input/sounds\022_Animal_Sound.mp3,022_Animal_Sound.mp3,2.6498128136154264e-09
input/sounds\029_Animal_Sound.mp3,029_Animal_Sound.mp3,2.735760062932968e-09
input/sounds\017_Animal_Sound.mp3,017_Animal_Sound.mp3,3.1315607884607743e-09
input/sounds\008_Animal_Sound.mp3,008_Animal_Sound.mp3,4.2782630771398544e-09
input/sounds\034_Animal_Sound.mp3,034_Animal_Sound.mp3,4.4615262595470995e-09
input/sounds\023_Animal_Sound.mp3,023_Animal_Sound.mp3,6.039812205926864e-09
input/sounds\026_Animal_Sound.mp3,026_Animal_Sound.mp3,7.343260222114623e-09
input/sounds\003_Animal_Sound.mp3,003_Animal_Sound.mp3,8.958522812463343e-09
input/sounds\006_Animal_Sound.mp3,006_Animal_Sound.mp3,1.3842054613633081e-08
input/sounds\032_Animal_Sound.mp3,032_Animal_Sound.mp3,1.4489671684714267e-08
input/sounds\024_Animal_Sound.mp3,024_Animal_Sound.mp3,1.6258127288892865e-08
input/sounds\015_Animal_Sound.mp3,015_Animal_Sound.mp3,6.383561412803829e-08
input/sounds\025_Animal_Sound.mp3,025_Animal_Sound.mp3,9.51058609643951e-08
