absolute_file_path,relative_file_path,duration_seconds
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\001_Human_Sound.mp3,human_sounds\001_Human_Sound.mp3,10.19
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\002_Human_Sound.mp3,human_sounds\002_Human_Sound.mp3,5.11
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\003_Human_Sound.mp3,human_sounds\003_Human_Sound.mp3,15.01
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\004_Human_Sound.mp3,human_sounds\004_Human_Sound.mp3,47.08
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\005_Human_Sound.mp3,human_sounds\005_Human_Sound.mp3,51.72
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\006_Human_Sound.mp3,human_sounds\006_Human_Sound.mp3,10.7
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\007_Human_Sound.mp3,human_sounds\007_Human_Sound.mp3,43.78
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\008_Human_Sound.mp3,human_sounds\008_Human_Sound.mp3,0.42
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\009_Human_Sound.mp3,human_sounds\009_Human_Sound.mp3,1.13
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\010_Human_Sound.mp3,human_sounds\010_Human_Sound.mp3,31.58
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\011_Human_Sound.mp3,human_sounds\011_Human_Sound.mp3,15.34
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\012_Human_Sound.mp3,human_sounds\012_Human_Sound.mp3,1.28
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\013_Human_Sound.mp3,human_sounds\013_Human_Sound.mp3,105.86
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\014_Human_Sound.mp3,human_sounds\014_Human_Sound.mp3,10.38
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\015_Human_Sound.mp3,human_sounds\015_Human_Sound.mp3,23.87
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\016_Human_Sound.mp3,human_sounds\016_Human_Sound.mp3,19.24
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\017_Human_Sound.mp3,human_sounds\017_Human_Sound.mp3,6.75
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\018_Human_Sound.mp3,human_sounds\018_Human_Sound.mp3,85.0
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\019_Human_Sound.mp3,human_sounds\019_Human_Sound.mp3,3.03
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\020_Human_Sound.mp3,human_sounds\020_Human_Sound.mp3,2.21
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\021_Human_Sound.mp3,human_sounds\021_Human_Sound.mp3,10.19
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\022_Human_Sound.mp3,human_sounds\022_Human_Sound.mp3,5.11
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\023_Human_Sound.mp3,human_sounds\023_Human_Sound.mp3,15.01
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\024_Human_Sound.mp3,human_sounds\024_Human_Sound.mp3,47.08
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\025_Human_Sound.mp3,human_sounds\025_Human_Sound.mp3,51.72
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\026_Human_Sound.mp3,human_sounds\026_Human_Sound.mp3,10.7
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\027_Human_Sound.mp3,human_sounds\027_Human_Sound.mp3,43.78
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\028_Human_Sound.mp3,human_sounds\028_Human_Sound.mp3,0.42
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\029_Human_Sound.mp3,human_sounds\029_Human_Sound.mp3,1.13
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\030_Human_Sound.mp3,human_sounds\030_Human_Sound.mp3,31.58
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\031_Human_Sound.mp3,human_sounds\031_Human_Sound.mp3,15.34
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\032_Human_Sound.mp3,human_sounds\032_Human_Sound.mp3,1.28
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\033_Human_Sound.mp3,human_sounds\033_Human_Sound.mp3,105.86
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\034_Human_Sound.mp3,human_sounds\034_Human_Sound.mp3,10.38
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\035_Human_Sound.mp3,human_sounds\035_Human_Sound.mp3,23.87
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\036_Human_Sound.mp3,human_sounds\036_Human_Sound.mp3,19.24
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\037_Human_Sound.mp3,human_sounds\037_Human_Sound.mp3,6.75
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\038_Human_Sound.mp3,human_sounds\038_Human_Sound.mp3,85.0
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\039_Human_Sound.mp3,human_sounds\039_Human_Sound.mp3,3.03
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\040_Human_Sound.mp3,human_sounds\040_Human_Sound.mp3,2.21
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\041_Human_Sound.mp3,human_sounds\041_Human_Sound.mp3,10.19
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\042_Human_Sound.mp3,human_sounds\042_Human_Sound.mp3,5.11
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\043_Human_Sound.mp3,human_sounds\043_Human_Sound.mp3,15.01
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\044_Human_Sound.mp3,human_sounds\044_Human_Sound.mp3,47.08
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\045_Human_Sound.mp3,human_sounds\045_Human_Sound.mp3,51.72
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\046_Human_Sound.mp3,human_sounds\046_Human_Sound.mp3,10.7
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\047_Human_Sound.mp3,human_sounds\047_Human_Sound.mp3,43.78
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\048_Human_Sound.mp3,human_sounds\048_Human_Sound.mp3,0.42
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\049_Human_Sound.mp3,human_sounds\049_Human_Sound.mp3,1.13
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\050_Human_Sound.mp3,human_sounds\050_Human_Sound.mp3,31.58
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\051_Human_Sound.mp3,human_sounds\051_Human_Sound.mp3,15.34
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\052_Human_Sound.mp3,human_sounds\052_Human_Sound.mp3,1.28
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\053_Human_Sound.mp3,human_sounds\053_Human_Sound.mp3,105.86
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\054_Human_Sound.mp3,human_sounds\054_Human_Sound.mp3,10.38
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\055_Human_Sound.mp3,human_sounds\055_Human_Sound.mp3,23.87
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\056_Human_Sound.mp3,human_sounds\056_Human_Sound.mp3,19.24
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\057_Human_Sound.mp3,human_sounds\057_Human_Sound.mp3,6.75
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\058_Human_Sound.mp3,human_sounds\058_Human_Sound.mp3,85.0
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\059_Human_Sound.mp3,human_sounds\059_Human_Sound.mp3,3.03
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\060_Human_Sound.mp3,human_sounds\060_Human_Sound.mp3,2.21
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\061_Human_Sound.mp3,human_sounds\061_Human_Sound.mp3,10.19
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\062_Human_Sound.mp3,human_sounds\062_Human_Sound.mp3,5.11
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\063_Human_Sound.mp3,human_sounds\063_Human_Sound.mp3,15.01
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\064_Human_Sound.mp3,human_sounds\064_Human_Sound.mp3,47.08
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\065_Human_Sound.mp3,human_sounds\065_Human_Sound.mp3,51.72
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\066_Human_Sound.mp3,human_sounds\066_Human_Sound.mp3,10.7
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\067_Human_Sound.mp3,human_sounds\067_Human_Sound.mp3,43.78
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\068_Human_Sound.mp3,human_sounds\068_Human_Sound.mp3,0.42
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\069_Human_Sound.mp3,human_sounds\069_Human_Sound.mp3,1.13
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\070_Human_Sound.mp3,human_sounds\070_Human_Sound.mp3,31.58
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\071_Human_Sound.mp3,human_sounds\071_Human_Sound.mp3,15.34
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\072_Human_Sound.mp3,human_sounds\072_Human_Sound.mp3,1.28
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\073_Human_Sound.mp3,human_sounds\073_Human_Sound.mp3,105.86
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\074_Human_Sound.mp3,human_sounds\074_Human_Sound.mp3,10.38
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\075_Human_Sound.mp3,human_sounds\075_Human_Sound.mp3,23.87
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\076_Human_Sound.mp3,human_sounds\076_Human_Sound.mp3,19.24
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\077_Human_Sound.mp3,human_sounds\077_Human_Sound.mp3,6.75
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\078_Human_Sound.mp3,human_sounds\078_Human_Sound.mp3,85.0
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\079_Human_Sound.mp3,human_sounds\079_Human_Sound.mp3,3.03
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\080_Human_Sound.mp3,human_sounds\080_Human_Sound.mp3,2.21
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\081_Human_Sound.mp3,human_sounds\081_Human_Sound.mp3,10.19
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\082_Human_Sound.mp3,human_sounds\082_Human_Sound.mp3,5.11
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\083_Human_Sound.mp3,human_sounds\083_Human_Sound.mp3,15.01
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\084_Human_Sound.mp3,human_sounds\084_Human_Sound.mp3,47.08
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\085_Human_Sound.mp3,human_sounds\085_Human_Sound.mp3,51.72
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\086_Human_Sound.mp3,human_sounds\086_Human_Sound.mp3,10.7
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\087_Human_Sound.mp3,human_sounds\087_Human_Sound.mp3,43.78
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\088_Human_Sound.mp3,human_sounds\088_Human_Sound.mp3,0.42
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\089_Human_Sound.mp3,human_sounds\089_Human_Sound.mp3,1.13
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\090_Human_Sound.mp3,human_sounds\090_Human_Sound.mp3,31.58
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\091_Human_Sound.mp3,human_sounds\091_Human_Sound.mp3,15.34
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\092_Human_Sound.mp3,human_sounds\092_Human_Sound.mp3,1.28
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\093_Human_Sound.mp3,human_sounds\093_Human_Sound.mp3,105.86
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\094_Human_Sound.mp3,human_sounds\094_Human_Sound.mp3,10.38
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\095_Human_Sound.mp3,human_sounds\095_Human_Sound.mp3,23.87
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\096_Human_Sound.mp3,human_sounds\096_Human_Sound.mp3,19.24
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\097_Human_Sound.mp3,human_sounds\097_Human_Sound.mp3,6.75
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\098_Human_Sound.mp3,human_sounds\098_Human_Sound.mp3,85.0
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\099_Human_Sound.mp3,human_sounds\099_Human_Sound.mp3,3.03
C:\Users\palag\OneDrive\Рабочий стол\123\human_sounds\100_Human_Sound.mp3,human_sounds\100_Human_Sound.mp3,2.21
