absolute_path,relative_path,brightness
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000001.jpg,000001.jpg,95.55
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000002.jpg,000002.jpg,97.14
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000003.jpg,000003.jpg,94.56
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000004.jpg,000004.jpg,159.45
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000005.jpg,000005.jpg,132.05
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000006.jpg,000006.jpg,101.11
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000007.jpg,000007.jpg,110.91
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000008.jpg,000008.jpg,100.06
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000009.jpg,000009.jpg,122.54
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000010.jpg,000010.jpg,134.51
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000011.jpg,000011.jpg,67.51
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000012.jpg,000012.jpg,205.53
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000013.jpg,000013.jpg,65.88
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000014.jpg,000014.jpg,158.96
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000015.jpg,000015.jpg,212.99
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000016.jpg,000016.jpg,143.45
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000017.jpg,000017.jpg,216.31
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000018.jpg,000018.jpg,92.24
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000019.jpg,000019.jpg,170.98
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000020.jpg,000020.jpg,212.99
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000021.jpg,000021.jpg,40.16
C:\Users\gayvo\OneDrive\Desktop\pp\lab2\bird_images\000022.jpg,000022.jpg,155.14
