Absolute Path,Relative Path,Dominant Color,Brightness Range,dominant_color,brightness_range
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000001.jpg,res\000001.jpg,"[179, 170, 160]",150-199,"[179, 170, 160]",150-199
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000002.jpg,res\000002.jpg,"[173, 168, 161]",150-199,"[173, 168, 161]",150-199
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000004.jpg,res\000004.jpg,"[200, 195, 194]",150-199,"[200, 195, 194]",150-199
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000005.jpg,res\000005.jpg,"[148, 153, 163]",150-199,"[148, 153, 163]",150-199
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000006.jpg,res\000006.jpg,"[159, 130, 115]",100-149,"[159, 130, 115]",100-149
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000007.jpg,res\000007.jpg,"[134, 123, 108]",100-149,"[134, 123, 108]",100-149
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000008.jpg,res\000008.jpg,"[246, 241, 238]",200-249,"[246, 241, 238]",200-249
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000009.jpg,res\000009.jpg,"[237, 234, 234]",200-249,"[237, 234, 234]",200-249
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000010.jpg,res\000010.jpg,"[97, 100, 113]",100-149,"[97, 100, 113]",100-149
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000011.jpg,res\000011.jpg,"[158, 149, 135]",150-199,"[158, 149, 135]",150-199
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000012.jpg,res\000012.jpg,"[115, 102, 62]",100-149,"[115, 102, 62]",100-149
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000013.jpg,res\000013.jpg,"[93, 78, 76]",50-99,"[93, 78, 76]",50-99
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000014.jpg,res\000014.jpg,"[134, 102, 93]",100-149,"[134, 102, 93]",100-149
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000015.jpg,res\000015.jpg,"[135, 125, 116]",100-149,"[135, 125, 116]",100-149
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000016.jpg,res\000016.jpg,"[97, 103, 85]",50-99,"[97, 103, 85]",50-99
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000017.jpg,res\000017.jpg,"[127, 116, 111]",100-149,"[127, 116, 111]",100-149
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000018.jpg,res\000018.jpg,"[210, 208, 207]",200-249,"[210, 208, 207]",200-249
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000019.jpg,res\000019.jpg,"[106, 91, 70]",50-99,"[106, 91, 70]",50-99
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000020.jpg,res\000020.jpg,"[114, 103, 92]",100-149,"[114, 103, 92]",100-149
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000021.jpg,res\000021.jpg,"[108, 95, 76]",50-99,"[108, 95, 76]",50-99
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000022.jpg,res\000022.jpg,"[222, 219, 220]",200-249,"[222, 219, 220]",200-249
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000023.jpg,res\000023.jpg,"[166, 155, 144]",150-199,"[166, 155, 144]",150-199
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000024.jpg,res\000024.jpg,"[93, 69, 44]",50-99,"[93, 69, 44]",50-99
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000025.jpg,res\000025.jpg,"[117, 101, 93]",100-149,"[117, 101, 93]",100-149
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000026.jpg,res\000026.jpg,"[228, 228, 229]",200-249,"[228, 228, 229]",200-249
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000027.jpg,res\000027.jpg,"[138, 137, 127]",100-149,"[138, 137, 127]",100-149
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000028.jpg,res\000028.jpg,"[80, 99, 58]",50-99,"[80, 99, 58]",50-99
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000029.jpg,res\000029.jpg,"[102, 89, 63]",50-99,"[102, 89, 63]",50-99
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000030.jpg,res\000030.jpg,"[185, 186, 181]",150-199,"[185, 186, 181]",150-199
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000031.jpg,res\000031.jpg,"[160, 151, 150]",150-199,"[160, 151, 150]",150-199
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000032.jpg,res\000032.jpg,"[106, 100, 95]",100-149,"[106, 100, 95]",100-149
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000033.jpg,res\000033.jpg,"[168, 169, 164]",150-199,"[168, 169, 164]",150-199
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000034.jpg,res\000034.jpg,"[130, 122, 126]",100-149,"[130, 122, 126]",100-149
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000035.jpg,res\000035.jpg,"[97, 91, 82]",50-99,"[97, 91, 82]",50-99
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000036.jpg,res\000036.jpg,"[88, 109, 94]",100-149,"[88, 109, 94]",100-149
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000037.jpg,res\000037.jpg,"[107, 106, 107]",100-149,"[107, 106, 107]",100-149
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000038.jpg,res\000038.jpg,"[221, 220, 224]",200-249,"[221, 220, 224]",200-249
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000039.jpg,res\000039.jpg,"[114, 109, 122]",100-149,"[114, 109, 122]",100-149
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000040.png,res\000040.png,"[139, 139, 137]",100-149,"[139, 139, 137]",100-149
C:\Users\ASUS\Desktop\лаб_2\application-programming-labs-2025\res\000041.jpg,res\000041.jpg,"[118, 111, 106]",100-149,"[118, 111, 106]",100-149
