absolute_path,relative_path,brightness_range,r_channel_range,g_channel_range,b_channel_range
C:\Users\Temp\Desktop\lab2.py\images\000001.jpg,images\000001.jpg,86-170,86-170,86-170,0-85
C:\Users\Temp\Desktop\lab2.py\images\000002.jpg,images\000002.jpg,0-85,0-85,0-85,0-85
C:\Users\Temp\Desktop\lab2.py\images\000003.jpg,images\000003.jpg,0-85,0-85,0-85,0-85
C:\Users\Temp\Desktop\lab2.py\images\000004.jpg,images\000004.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000005.jpg,images\000005.jpg,86-170,86-170,86-170,0-85
C:\Users\Temp\Desktop\lab2.py\images\000006.jpg,images\000006.jpg,171-255,171-255,171-255,171-255
C:\Users\Temp\Desktop\lab2.py\images\000007.jpg,images\000007.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000008.jpg,images\000008.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000009.jpg,images\000009.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000010.jpg,images\000010.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000011.jpg,images\000011.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000012.jpg,images\000012.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000013.jpg,images\000013.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000014.jpg,images\000014.jpg,0-85,0-85,86-170,0-85
C:\Users\Temp\Desktop\lab2.py\images\000015.jpg,images\000015.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000016.jpg,images\000016.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000017.jpg,images\000017.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000018.jpg,images\000018.jpg,86-170,86-170,86-170,0-85
C:\Users\Temp\Desktop\lab2.py\images\000019.jpg,images\000019.jpg,86-170,86-170,86-170,0-85
C:\Users\Temp\Desktop\lab2.py\images\000020.jpg,images\000020.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000021.jpg,images\000021.jpg,86-170,0-85,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000022.jpg,images\000022.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000023.jpg,images\000023.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000024.jpg,images\000024.jpg,171-255,171-255,171-255,171-255
C:\Users\Temp\Desktop\lab2.py\images\000025.jpg,images\000025.jpg,86-170,0-85,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000026.jpg,images\000026.jpg,86-170,86-170,86-170,171-255
C:\Users\Temp\Desktop\lab2.py\images\000027.jpg,images\000027.jpg,86-170,86-170,86-170,0-85
C:\Users\Temp\Desktop\lab2.py\images\000028.jpg,images\000028.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000029.jpg,images\000029.jpg,86-170,86-170,86-170,0-85
C:\Users\Temp\Desktop\lab2.py\images\000030.jpg,images\000030.jpg,0-85,0-85,0-85,0-85
C:\Users\Temp\Desktop\lab2.py\images\000031.jpg,images\000031.jpg,0-85,0-85,0-85,0-85
C:\Users\Temp\Desktop\lab2.py\images\000032.jpg,images\000032.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000033.jpg,images\000033.jpg,86-170,86-170,86-170,0-85
C:\Users\Temp\Desktop\lab2.py\images\000034.jpg,images\000034.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000035.jpg,images\000035.jpg,86-170,171-255,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000036.jpg,images\000036.jpg,86-170,86-170,86-170,0-85
C:\Users\Temp\Desktop\lab2.py\images\000037.jpg,images\000037.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000038.jpg,images\000038.jpg,0-85,0-85,0-85,0-85
C:\Users\Temp\Desktop\lab2.py\images\000039.jpg,images\000039.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000040.jpg,images\000040.jpg,86-170,86-170,86-170,0-85
C:\Users\Temp\Desktop\lab2.py\images\000041.jpg,images\000041.jpg,171-255,171-255,171-255,171-255
C:\Users\Temp\Desktop\lab2.py\images\000042.jpg,images\000042.jpg,171-255,171-255,171-255,86-170
C:\Users\Temp\Desktop\lab2.py\images\000043.jpg,images\000043.jpg,0-85,0-85,0-85,0-85
C:\Users\Temp\Desktop\lab2.py\images\000044.jpg,images\000044.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000045.jpg,images\000045.jpg,86-170,171-255,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000046.jpg,images\000046.jpg,86-170,86-170,86-170,171-255
C:\Users\Temp\Desktop\lab2.py\images\000047.jpg,images\000047.jpg,86-170,86-170,86-170,0-85
C:\Users\Temp\Desktop\lab2.py\images\000048.jpg,images\000048.jpg,86-170,86-170,86-170,0-85
C:\Users\Temp\Desktop\lab2.py\images\000049.jpg,images\000049.jpg,86-170,86-170,86-170,86-170
C:\Users\Temp\Desktop\lab2.py\images\000050.jpg,images\000050.jpg,86-170,86-170,86-170,86-170
